"Fecha hora","Aeropuerto","Tipo Informe","Informe"
"2020-08-19 12:00:00","SKRH","METAR","METAR SKRH 191200Z 20004KT 9999 SCT010TCU 27/25 A2982 RMK TCU/W="
"2020-08-19 13:00:00","SKRH","METAR","METAR SKRH 191300Z 07004KT 9999 SCT010TCU 30/25 A2983 RMK TCU/NW="
"2020-08-19 14:00:00","SKRH","METAR","METAR SKRH 191400Z 09004KT 9999 VCSH FEW010 BKN080 30/25 A2986 RMK VCSH/SE/S="
"2020-08-19 15:00:00","SKRH","METAR","METAR SKRH 191500Z 09006KT 9999 8000 VCSH FEW010 BKN080 30/24 A2985 RMK VCSH/E/SE="
"2020-08-19 16:00:00","SKRH","METAR","METAR SKRH 191600Z 07006KT 5000 RA OVC010 27/26 A2987="
"2020-08-19 17:00:00","SKRH","METAR","METAR SKRH 191700Z 10008KT 5000 -DZ SCT005 BKN070 27/26 A2985 RERA="
"2020-08-19 17:05:00","SKRH","SPECI","SPECI SKRH 191505Z 10008KT 8000 -DZ SCT010 BKN080 30/25 A2985="
"2020-08-19 17:15:00","SKRH","SPECI","SPECI SKRH 191715Z 09006KT 9999 VCSH SCT010 BKN080 27/26 A2983 REDZ="
"2020-08-19 18:00:00","SKRH","METAR","METAR SKRH 191800Z 15006KT 9999 FEW010 BKN200 27/25 A2979 REDZ="
"2020-08-19 19:00:00","SKRH","METAR","METAR SKRH 191900Z 140005KT 9999 FEW010 BKN100 28/25 A2977="
"2020-08-19 20:00:00","SKRH","METAR","METAR SKRH 192000Z 08004KT 9999 FEW010 BKN100 30/25 A2975="